                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.72137,                 0.3508,                0.24031,                0.98206,                0.97452,                0.98712,                0.76899,                0.87032,                0.35805,                0.24428,               0.004258,               0.004258,               0.004258
                    119,                0.73667,                0.35516,                 0.2405,                  0.984,                0.96618,                0.98741,                0.76717,                0.87707,                0.35725,                0.24363,              0.0042085,              0.0042085,              0.0042085
                    120,                0.72557,                0.35156,                   0.24,                0.97183,                0.97533,                0.98554,                0.76734,                0.86852,                0.35211,                0.24408,               0.004159,               0.004159,               0.004159
                    121,                 0.7276,                 0.3473,                 0.2402,                0.97788,                0.97228,                0.98792,                0.77042,                0.86994,                 0.3526,                0.24448,              0.0041095,              0.0041095,              0.0041095
                    122,                0.71358,                0.35076,                0.23739,                  0.976,                0.97277,                0.98618,                0.76853,                0.86945,                 0.3579,                0.24279,                0.00406,                0.00406,                0.00406
                    123,                0.71961,                0.34812,                0.23852,                 0.9769,                0.97438,                0.98918,                0.76684,                0.87689,                0.35435,                0.24565,              0.0040105,              0.0040105,              0.0040105
                    124,                0.71777,                0.34827,                 0.2384,                0.96386,                0.97734,                0.98652,                0.76566,                 0.8695,                0.35378,                0.24453,               0.003961,               0.003961,               0.003961
                    125,                  0.725,                0.34872,                0.23973,                0.97496,                0.97858,                0.98768,                0.76741,                0.86557,                0.35408,                0.24298,              0.0039115,              0.0039115,              0.0039115
                    126,                0.71092,                 0.3459,                0.23914,                0.97801,                0.97487,                0.98755,                 0.7655,                0.87388,                0.34903,                 0.2451,               0.003862,               0.003862,               0.003862
                    127,                 0.7182,                0.34963,                0.23869,                0.97931,                0.97801,                0.98802,                0.76927,                0.86454,                0.34994,                0.24457,              0.0038125,              0.0038125,              0.0038125
                    128,                0.70864,                0.34298,                 0.2398,                 0.9779,                0.97304,                0.98571,                0.76978,                0.86227,                0.35202,                0.24282,               0.003763,               0.003763,               0.003763
                    129,                0.70578,                0.34563,                0.23747,                0.97861,                0.96963,                 0.9875,                0.76633,                0.86406,                0.34974,                0.24363,              0.0037135,              0.0037135,              0.0037135
                    130,                0.71522,                0.34834,                0.23797,                0.97788,                0.97173,                0.98565,                0.76425,                0.87379,                0.35572,                 0.2462,               0.003664,               0.003664,               0.003664
                    131,                0.72083,                0.34719,                0.23738,                0.98104,                0.97508,                0.98886,                0.76737,                  0.875,                0.35548,                0.24608,              0.0036145,              0.0036145,              0.0036145
                    132,                0.70242,                0.34147,                0.23654,                 0.9807,                0.97277,                0.98796,                0.76909,                0.86504,                0.35138,                0.24257,               0.003565,               0.003565,               0.003565
                    133,                0.70478,                0.33816,                0.23577,                0.97686,                0.97235,                 0.9864,                0.76923,                0.85957,                0.35344,                0.23972,              0.0035155,              0.0035155,              0.0035155
                    134,                0.69512,                 0.3339,                0.23419,                0.97515,                0.97068,                0.98498,                0.76496,                0.86813,                0.35494,                0.24077,               0.003466,               0.003466,               0.003466
                    135,                0.70177,                0.33589,                0.23621,                0.97385,                0.97592,                0.98719,                0.77058,                0.85918,                0.34556,                0.23968,              0.0034165,              0.0034165,              0.0034165
                    136,                0.70009,                0.33714,                0.23554,                 0.9799,                0.96991,                0.98868,                0.76639,                 0.8632,                 0.3502,                0.24007,               0.003367,               0.003367,               0.003367
                    137,                0.71541,                0.34655,                0.23666,                0.98142,                0.97068,                0.98675,                0.76914,                0.86109,                0.34877,                0.24136,              0.0033175,              0.0033175,              0.0033175
                    138,                0.67842,                0.32845,                0.23586,                0.97652,                0.97173,                0.98622,                0.76564,                0.86732,                0.34887,                0.24271,               0.003268,               0.003268,               0.003268
                    139,                0.69873,                0.34045,                0.23597,                0.98199,                0.97046,                0.98655,                0.76523,                0.86301,                0.34901,                0.24328,              0.0032185,              0.0032185,              0.0032185
                    140,                0.69009,                0.32987,                0.23386,                0.98451,                0.97068,                0.98669,                0.76627,                 0.8628,                0.34712,                0.24241,               0.003169,               0.003169,               0.003169
                    141,                0.69882,                0.33247,                0.23553,                0.97476,                0.97487,                0.98766,                0.76929,                0.86558,                0.34534,                0.24266,              0.0031195,              0.0031195,              0.0031195
                    142,                0.69199,                0.33509,                0.23541,                0.97477,                 0.9711,                0.98444,                0.77088,                0.85814,                0.34481,                0.24046,                0.00307,                0.00307,                0.00307
                    143,                0.70111,                0.33359,                0.23742,                0.98307,                0.97255,                0.98835,                0.77157,                0.85214,                0.34573,                0.24012,              0.0030205,              0.0030205,              0.0030205
                    144,                0.69783,                0.33852,                0.23522,                0.98334,                0.97382,                0.98725,                 0.7715,                0.85671,                0.34624,                0.24099,               0.002971,               0.002971,               0.002971
                    145,                0.67575,                0.32789,                0.23527,                0.98102,                0.97432,                 0.9882,                0.77345,                0.85661,                0.34533,                 0.2418,              0.0029215,              0.0029215,              0.0029215
                    146,                0.69181,                0.33312,                0.23395,                0.97878,                0.97277,                0.98633,                0.77474,                0.85151,                0.34071,                0.24075,               0.002872,               0.002872,               0.002872
                    147,                0.68097,                0.32953,                0.23422,                0.98085,                0.97592,                0.98808,                0.77135,                0.85911,                0.34036,                0.24096,              0.0028225,              0.0028225,              0.0028225
                    148,                0.68254,                0.32638,                0.23496,                0.98375,                0.96963,                 0.9885,                0.77207,                 0.8578,                0.33673,                0.24114,               0.002773,               0.002773,               0.002773
                    149,                0.66491,                0.31989,                  0.233,                  0.982,                0.97136,                 0.9885,                0.77324,                0.85222,                0.33868,                 0.2398,              0.0027235,              0.0027235,              0.0027235
                    150,                0.68018,                 0.3244,                0.23404,                0.97786,                0.97116,                0.98533,                0.77185,                0.84812,                0.34003,                0.23958,               0.002674,               0.002674,               0.002674
                    151,                0.67969,                0.32842,                0.23544,                0.97585,                0.97173,                0.98487,                0.77374,                0.84939,                0.33924,                0.23963,              0.0026245,              0.0026245,              0.0026245
                    152,                 0.6746,                0.32686,                0.23355,                0.98194,                0.97696,                0.98793,                0.77418,                0.84584,                  0.336,                0.23901,               0.002575,               0.002575,               0.002575
                    153,                0.66387,                0.31765,                 0.2348,                0.97589,                0.97501,                0.98763,                0.77365,                0.84604,                0.33629,                0.23916,              0.0025255,              0.0025255,              0.0025255
                    154,                0.65567,                0.31217,                0.23244,                0.98297,                0.96699,                 0.9866,                0.77336,                0.84733,                0.33591,                0.24027,               0.002476,               0.002476,               0.002476
                    155,                0.66696,                0.31928,                0.23317,                0.97892,                0.97274,                0.98666,                0.77408,                0.84812,                0.33626,                0.24121,              0.0024265,              0.0024265,              0.0024265
                    156,                0.67793,                0.32271,                0.23262,                0.97868,                0.97592,                0.98749,                0.77284,                0.84701,                0.33779,                0.24046,               0.002377,               0.002377,               0.002377
                    157,                 0.6642,                0.31892,                0.23185,                0.97654,                0.97382,                0.98845,                0.77334,                 0.8469,                0.34119,                0.23945,              0.0023275,              0.0023275,              0.0023275
