epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,10431.5,0.81567,0.41431,0.9898,0.97795,0.96126,0.98065,0.72486,0.91622,0.39469,1.00657,0.0017335,0.0017335,0.0017335
169,10493.5,0.80141,0.41307,0.98398,0.97872,0.96302,0.97831,0.72241,0.91873,0.39541,1.0073,0.001684,0.001684,0.001684
170,10555.1,0.79585,0.40979,0.99119,0.98366,0.96126,0.98092,0.72404,0.91497,0.39387,1.0034,0.0016345,0.0016345,0.0016345
171,10616.7,0.78837,0.4025,0.97796,0.97835,0.96126,0.97875,0.72287,0.91351,0.39499,1.00394,0.001585,0.001585,0.001585
172,10678.5,0.80169,0.40369,0.98043,0.97874,0.96429,0.98215,0.72783,0.91053,0.39532,1.00407,0.0015355,0.0015355,0.0015355
173,10740.4,0.8022,0.40424,0.98007,0.98174,0.96335,0.98223,0.72647,0.91112,0.39399,1.00083,0.001486,0.001486,0.001486
174,10802.4,0.80614,0.40404,0.98462,0.98286,0.96545,0.98442,0.72509,0.91478,0.39593,1.00109,0.0014365,0.0014365,0.0014365
175,10864.2,0.80804,0.40953,0.97704,0.97976,0.96296,0.9785,0.7241,0.91448,0.39708,0.99997,0.001387,0.001387,0.001387
176,10926,0.80081,0.404,0.97553,0.98075,0.96035,0.97881,0.72704,0.91491,0.39584,0.99933,0.0013375,0.0013375,0.0013375
177,10988,0.79564,0.40127,0.97671,0.97947,0.96335,0.97909,0.72777,0.91569,0.39431,1.00012,0.001288,0.001288,0.001288
178,11049.5,0.7797,0.3953,0.97846,0.98238,0.96545,0.98357,0.72821,0.91432,0.39478,0.99801,0.0012385,0.0012385,0.0012385
179,11111.6,0.79234,0.40011,0.97824,0.984,0.96584,0.98403,0.72583,0.91198,0.39431,0.99751,0.001189,0.001189,0.001189
180,11173.4,0.77537,0.38911,0.97231,0.97953,0.96545,0.98428,0.72647,0.90608,0.38699,0.99936,0.0011395,0.0011395,0.0011395
181,11235.2,0.77876,0.3938,0.97862,0.9805,0.9644,0.98431,0.72727,0.90905,0.38472,1.00121,0.00109,0.00109,0.00109
182,11296.9,0.78563,0.39793,0.97926,0.98555,0.96335,0.98282,0.7262,0.90725,0.38787,0.99681,0.0010405,0.0010405,0.0010405
